Property_ID,Buyer_Type,Sales_Channel,Booking_Flag,Quarter_Label,Quarter_Number
PROP000001,nri,broker,1,2025-03-31,1
PROP000002,other,"nri desk",1,2024-06-30,2
PROP000003,hni,direct,1,2023-12-31,4
PROP000004,hni,online,1,2024-03-31,1
PROP000005,hni,broker,1,2024-12-31,4
PROP000006,hni,online,1,2023-09-30,3
PROP000007,other,direct,1,2025-03-31,1
PROP000008,nri,direct,1,2025-03-31,1
PROP000009,other,"nri desk",1,2024-03-31,1
PROP000010,cxo,direct,1,2023-09-30,3
PROP000011,cxo,online,1,2024-06-30,2
PROP000012,nri,broker,1,2024-03-31,1
PROP000013,"startup founder",online,1,2024-03-31,1
PROP000014,other,online,1,2023-12-31,4
PROP000015,cxo,"nri desk",1,2024-06-30,2
PROP000016,nri,direct,1,2024-03-31,1
PROP000017,nri,direct,1,2023-12-31,4
PROP000018,cxo,"nri desk",1,2024-03-31,1
PROP000019,other,broker,1,2024-12-31,4
PROP000020,"startup founder",online,1,2024-09-30,3
PROP000021,nri,direct,1,2023-06-30,2
PROP000022,cxo,"nri desk",1,2024-06-30,2
PROP000023,cxo,broker,1,2025-03-31,1
PROP000024,hni,online,1,2024-12-31,4
PROP000025,other,online,1,2024-03-31,1
PROP000026,"startup founder",online,1,2024-09-30,3
PROP000027,"startup founder","nri desk",1,2023-06-30,2
PROP000028,"startup founder","nri desk",1,2023-12-31,4
PROP000029,cxo,online,1,2023-06-30,2
PROP000030,hni,broker,1,2024-12-31,4
PROP000031,other,online,1,2024-06-30,2
PROP000032,hni,direct,1,2023-12-31,4
PROP000033,hni,online,1,2024-03-31,1
PROP000034,cxo,direct,1,2024-09-30,3
PROP000035,hni,online,1,2024-12-31,4
PROP000036,"startup founder",broker,1,2024-09-30,3
PROP000037,cxo,online,1,2025-03-31,1
PROP000038,"startup founder",broker,1,2024-03-31,1
PROP000039,cxo,online,1,2023-09-30,3
PROP000040,"startup founder",broker,1,2024-09-30,3
PROP000041,cxo,online,1,2023-09-30,3
