Locality_Infra_Score,avg_conversion_rate
9.21249,1.0000
7.7239,1.0000
6.98549,1.0000
6.10093,1.0000
5.31251,1.0000
5.15403,1.0000
9.79155,1.0000
9.05471,1.0000
8.55205,1.0000
8.39569,1.0000
9.28214,1.0000
7.46168,1.0000
9.65927,1.0000
6.19885,1.0000
8.94949,1.0000
9.85017,1.0000
9.79528,1.0000
9.25609,1.0000
8.65223,1.0000
5.04937,1.0000
7.53009,1.0000
8.34425,1.0000
9.14295,1.0000
9.31246,1.0000
8.12797,1.0000
5.89003,1.0000
9.03285,1.0000
9.64641,1.0000
6.74874,1.0000
8.25598,1.0000
9.52272,1.0000
8.87864,1.0000
7.52282,1.0000
6.33753,1.0000
7.37408,1.0000
9.14458,1.0000
6.17701,1.0000
6.68184,1.0000
8.68461,1.0000
8.90361,1.0000
7.19782,1.0000
6.24893,1.0000
9.99401,1.0000
5.36501,1.0000
9.94681,1.0000
5.4142,1.0000
7.03908,1.0000
5.68991,1.0000
9.70794,1.0000
8.85813,1.0000
5.31406,1.0000
5.61732,1.0000
9.98024,1.0000
5.6099,1.0000
8.48572,1.0000
6.6638,1.0000
8.96532,1.0000
7.76988,1.0000
7.76352,1.0000
7.92126,1.0000
9.34031,1.0000
5.88383,1.0000
6.14001,1.0000
9.5791,1.0000
8.45859,1.0000
5.90287,1.0000
5.10715,1.0000
6.40761,1.0000
8.85266,1.0000
7.51965,1.0000
6.95563,1.0000
5.08767,1.0000
9.35655,1.0000
8.10804,1.0000
5.51545,1.0000
5.45815,1.0000
6.41883,1.0000
5.7698,1.0000
5.64378,1.0000
5.85143,1.0000
5.16327,1.0000
6.95433,1.0000
5.68441,1.0000
8.65063,1.0000
7.86826,1.0000
7.51051,1.0000
8.92103,1.0000
8.54826,1.0000
6.2024,1.0000
7.14672,1.0000
8.46038,1.0000
5.59707,1.0000
7.51176,1.0000
9.84048,1.0000
8.24573,1.0000
9.10928,1.0000
6.54256,1.0000
7.30516,1.0000
7.9934,1.0000
7.49165,1.0000
6.35687,1.0000
7.29134,1.0000
9.57732,1.0000
8.71589,1.0000
6.63124,1.0000
5.33224,1.0000
5.86945,1.0000
6.66516,1.0000
8.50641,1.0000
9.54733,1.0000
8.34154,1.0000
6.12095,1.0000
7.92834,1.0000
5.83058,1.0000
9.1673,1.0000
5.45682,1.0000
7.44224,1.0000
9.19932,1.0000
7.98076,1.0000
5.611,1.0000
5.00379,1.0000
6.12855,1.0000
5.59029,1.0000
8.65627,1.0000
6.1888,1.0000
9.77425,1.0000
8.57649,1.0000
8.38,1.0000
7.58804,1.0000
5.41726,1.0000
7.52507,1.0000
5.3645,1.0000
9.44391,1.0000
9.71823,1.0000
9.44348,1.0000
6.17396,1.0000
6.67432,1.0000
9.08323,1.0000
6.07505,1.0000
6.57068,1.0000
9.86473,1.0000
6.30872,1.0000
6.10602,1.0000
5.86462,1.0000
9.69204,1.0000
6.69043,1.0000
5.36086,1.0000
5.11702,1.0000
6.91989,1.0000
8.71131,1.0000
5.42808,1.0000
9.65184,1.0000
9.96007,1.0000
7.82595,1.0000
9.06193,1.0000
9.91062,1.0000
6.62604,1.0000
7.60544,1.0000
9.84983,1.0000
7.95087,1.0000
9.69173,1.0000
8.35006,1.0000
8.37545,1.0000
9.6057,1.0000
7.16666,1.0000
8.7169,1.0000
8.28924,1.0000
8.07818,1.0000
7.77345,1.0000
7.97901,1.0000
9.1004,1.0000
6.59269,1.0000
8.31082,1.0000
5.61519,1.0000
8.47337,1.0000
7.62702,1.0000
